%{Carboxyhemoglobin},PercentCarboxyhemoglobin [Mass Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% CO Hgb,Active,Mass Or Substance Fraction Units,8/24/2005,PercentCarboxyhemoglobin,1,62
%{HemoglobinA1C},PercentHemoglobinA1C [Mass Or Substance Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Hgb A1C,Active,Mass Or Substance Fraction Units,8/24/2005,PercentHemoglobinA1C,1,63
%{Excretion},PercentExcretion [Mass Or Substance Rate Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Excretion,Active,Mass Or Substance Rate Fraction Units,8/24/2005,PercentExcretion,1,64
%{Uptake},PercentUptake [Mass Or Substance Rate Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Uptake,Active,Mass Or Substance Rate Fraction Units,8/24/2005,PercentUptake,1,65
ug/ng,MicroGramsPerNanoGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/ng,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MicroGramsPerNanoGram,1,66
ng/mg,NanoGramsPerMilliGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ng/mg,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,NanoGramsPerMilliGram,1,67
ng/mg{Protein},NanoGramsPerMilliGramProtein [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ng/mg Prot,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,NanoGramsPerMilliGramProtein,1,68
ug/mg,MicroGramsPerMilliGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/mg,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MicroGramsPerMilliGram,1,69
ug/mg{Cre},MicroGramsPerMilliGramCreatinine [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/mg Cre,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MicroGramsPerMilliGramCreatinine,1,70
mg/mg,MilliGramsPerMilliGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,mg/mg,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MilliGramsPerMilliGram,1,71
mg/mg{Cre},MilligramsPerMilligramCreatinine [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,mg/mg Cre,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MilligramsPerMilligramCreatinine,,72
ng/g,NanoGramsPerGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ng/g,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,NanoGramsPerGram,1,73
ng/g{Cre},NanoGramsPerGramCreatinine [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ng/g Cre,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,NanoGramsPerGramCreatinine,1,74
ug/g,MicroGramsPerGram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/g,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MicroGramsPerGram,1,75
ug/[100]g,MicroGramPer100Gram [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/100 g,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MicroGramPer100Gram,1,76
ug/g{DryWeight},MicroGramPerGramDryWeight [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/g Dry Weight,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MicroGramPerGramDryWeight,1,77
ug/g{Cre},MicroGramPerGramCreatinine [Mass Ratio Or Mass Fraction Or Mass Content Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/g Cre,Active,Mass Ratio Or Mass Fraction Or Mass Content Units,8/24/2005,MicroGramPerGramCreatinine,1,78
